"Placa";"Vaga";"Categoria Demora";"Data Inicial";"Data Final";"Tempo Indisponível (HH:MM)"
"EGC2978";"CAMINHÃO ALTA PRESSÃO - GPS - 09";"Aguardando Área";"25/07/2025 09:09:52";"25/07/2025 09:09:56";"00:00"
"EGC2978";"CAMINHÃO ALTA PRESSÃO - GPS - 09";"Documentação";"25/07/2025 09:10:12";"25/07/2025 09:33:33";"00:23"
"EAM3256";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Documentação";"25/07/2025 09:18:33";"25/07/2025 10:00:44";"00:42"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Preparação";"25/07/2025 09:18:51";"25/07/2025 09:45:45";"00:27"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Abastecimento (Água)";"25/07/2025 09:19:28";"25/07/2025 09:34:24";"00:15"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Aguardando Área";"25/07/2025 09:21:59";"25/07/2025 10:29:52";"01:08"
"LUX-3201";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Abastecimento (Água)";"25/07/2025 09:24:50";"25/07/2025 09:35:39";"00:11"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Bloqueio";"25/07/2025 09:32:59";"25/07/2025 10:05:07";"00:32"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Documentação";"25/07/2025 09:39:45";"25/07/2025 10:39:29";"01:00"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Preparação";"25/07/2025 09:42:39";"25/07/2025 10:08:59";"00:26"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Documentação";"25/07/2025 09:47:51";"25/07/2025 10:18:44";"00:31"
"LUX-3201";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Aguardando Área";"25/07/2025 09:48:58";"25/07/2025 09:49:02";"00:00"
